Set No.,Set Name,Player,Country,State Association,Age,Specialism,Batting,Bowling,IPL,Previous IPLTeam(s),2021 Team,C/U/A,Base Price,Sold Price,New Franchise,Bid
33,UAL4,Aneeshwar Gautam,India,KSCA,19,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,Uncapped,20,20 L,Royal Challengers Bangalore,Sold
33,UAL4,Benny Howell,England,,33,ALL-ROUNDER,RHB,RIGHT ARM Medium,,,,Uncapped,40,40 L,Punjab Kings,Sold
34,UWK3,Baba Indrajith,India,TNCA,27,WICKETKEEPER,RHB,-,,,,Uncapped,20,20 L,Kolkata Knight Riders,Sold
35,UFA4,Kuldip Yadav,India,DDCA,25,BOWLER,LHB,LEFT ARM Fast,1,,RR,Uncapped,20,20 L,Rajasthan Royals,Sold
38,AL5,Chamika Karunaratne,Sri Lanka,,25,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,Capped,50,50 L,Kolkata Knight Riders,Sold
38,AL5,David Willey,England,,32,ALL-ROUNDER,LHB,LEFT ARM Fast Medium,3,CSK,,Capped,200,2 CR,Royal Challengers Bangalore,Sold
39,FA5,Varun Aaron,India,JSCA,32,BOWLER,RHB,RIGHT ARM Fast,50,"DD, RCB,KXIP, RR",,Capped,50,50 L,Gujarat Titans,Sold
40,UBA5,R Samarth,India,KSCA,29,BATSMAN,RHB,RIGHT ARM Off Spin,,,,Uncapped,20,20 L,Sunrisers Hyderabad,Sold
40,UBA5,Abhijeet Tomar,India,RCA,27,BATSMAN,RHB,RIGHT ARM Off Spin,,,,Uncapped,20,40 L,Kolkata Knight Riders,Sold
41,UAL5,Aman Khan,India,MCA,25,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20,20 L,Kolkata Knight Riders,Sold
41,UAL5,Pradeep Sangwan,India,DDCA,31,ALL-ROUNDER,RHB,LEFT ARM Fast,39,"DD, GL, MI",,Uncapped,20,20 L,Gujarat Titans,Sold
47,UBA6,Ramesh Kumar,India,PCA,23,BATSMAN,LHB,-,,,,Uncapped,20,20 L,Kolkata Knight Riders,Sold
47,UBA6,Pratham Singh,India,RSPB,29,BATSMAN,LHB,RIGHT ARM Off Spin,0,GL,,Uncapped,20,20 L,Kolkata Knight Riders,Sold
48,UAL6,Writtick Chatterjee,India,CAB,29,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,Uncapped,20,20 L,Punjab Kings,Sold
48,UAL6,Hrithik Shokeen,India,DDCA,21,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,Uncapped,20,20 L,Mumbai Indians,Sold
48,UAL6,Shashank Singh,India,CSCSCA,30,ALL-ROUNDER,RHB,RIGHT ARM Medium,0,"DD, RR",,Uncapped,20,20 L,Sunrisers Hyderabad,Sold
50,AL7,Kyle Mayers,West Indies,,29,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,,,,Capped,50,50 L,Lucknow Super Giants,Sold
51,UAL7,Karan Sharma,India,UPCA,23,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,Uncapped,20,20 L,Lucknow Super Giants,Sold
52,UFA7,Baltej Dhanda,India,PCA,31,BOWLER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20,20 L,Punjab Kings,Sold
52,UFA7,Saurabh Dubey,India,VCA,24,BOWLER,RHB,LEFT ARM Fast Medium,,,,Uncapped,20,20 L,Sunrisers Hyderabad,Sold
53,UAL8,Ansh Patel,India,BCA,20,ALL-ROUNDER,RHB,LEFT ARM Slow Unorthodox,,,,Uncapped,20,20 L,Punjab Kings,Sold
54,UFA8,Ashok Sharma,India,RCA,19,BOWLER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20,55 L,Kolkata Knight Riders,Sold
57,UAL10,Arjun Tendulkar,India,MCA,22,ALL-ROUNDER,LHB,LEFT ARM Fast Medium,0,MI,MI,Uncapped,20,30 L,Mumbai Indians,Sold
59,UAL12,Shubham Garhwal,India,RCA,26,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,Uncapped,20,20 L,Rajasthan Royals,Sold
60,UAL13,Anunay Singh,India,BICA,29,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20,20 L,Rajasthan Royals,Sold
2,BA1,Suresh Raina,India,UPCA,35,BATSMAN,LHB,RIGHT ARM Off Spin,205,"CSK, GL",CSK,Capped,200,,,UnSold
2,BA1,Steve Smith,Australia,,32,BATSMAN,RHB,-,103,"PWI, RPS, RR, DC",DC,Capped,200,,,UnSold
3,AL1,Shakib Al Hasan,Bangladesh,,35,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,71,"SRH, KKR",KKR,Capped,200,,,UnSold
3,AL1,Mohammad Nabi,Afghanistan,,37,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,17,SRH,SRH,Capped,100,1 CR,Kolkata Knight Riders,Sold
6,SP1,Amit Mishra,India,HCA,39,BOWLER,RHB,RIGHT ARM Leg Spin,154,"DCH, SRH, DC",DC,Capped,150,,,UnSold
6,SP1,Adil Rashid,England,,34,BOWLER,RHB,RIGHT ARM Leg Spin,1,,PBKS,Capped,200,,,UnSold
6,SP1,Imran Tahir,South Africa,,43,BOWLER,RHB,RIGHT ARM Leg Spin,59,"DD, RPS, CSK",CSK,Capped,200,,,UnSold
6,SP1,Mujeeb Zadran,Afghanistan,,21,BOWLER,RHB,RIGHT ARM Off Spin,19,"KXIP, SRH",SRH,Capped,200,,,UnSold
6,SP1,Adam Zampa,Australia,,29,BOWLER,RHB,RIGHT ARM Leg Spin,14,"RPS, RCB",RCB,Capped,200,,,UnSold
7,UBA1,C.Hari Nishaanth,India,TNCA,25,BATSMAN,LHB,RIGHT ARM Off Spin,0,CSK,CSK,Uncapped,20,20 L,Chennai Super Kings,Sold
7,UBA1,Rajat Patidar,India,MPCA,28,BATSMAN,RHB,RIGHT ARM Off Spin,4,RCB,RCB,Uncapped,20,,,UnSold
9,UWK1,Mohammed Azharuddeen,India,KCA,28,WICKETKEEPER,RHB,-,0,RCB,RCB,Uncapped,20,,,UnSold
9,UWK1,K.S. Bharat,India,ACA,28,WICKETKEEPER,RHB,-,8,"DD, RCB",RCB,Uncapped,20,20 L,Delhi Capitals,Sold
9,UWK1,N. Jagadeesan,India,TNCA,26,WICKETKEEPER,RHB,-,5,CSK,CSK,Uncapped,20,20 L,Chennai Super Kings,Sold
9,UWK1,Vishnu Solanki,India,BCA,29,WICKETKEEPER,RHB,-,,,,Uncapped,20,,,UnSold
10,UFA1,K.M. Asif,India,KCA,28,BOWLER,RHB,RIGHT ARM Fast,3,CSK,CSK,Uncapped,20,20 L,Chennai Super Kings,Sold
10,UFA1,Ankit Singh Rajpoot,India,UPCA,28,BOWLER,RHB,RIGHT ARM Fast Medium,29,"CSK, KKR, RR, KXIP",,Uncapped,20,50 L,Lucknow Super Giants,Sold
11,USP1,K.C Cariappa,India,KSCA,27,BOWLER,RHB,RIGHT ARM Leg Spin,11,"KKR, KXIP, RR",RR,Uncapped,20,30 L,Rajasthan Royals,Sold
11,USP1,Sandeep Lamichhane,Nepal,,21,BOWLER,RHB,RIGHT ARM Leg Spin,9,DC,,Associate,40,,,UnSold
11,USP1,R. Sai Kishore,India,TNCA,25,BOWLER,LHB,LEFT ARM Slow Orthodox,0,CSK,CSK,Uncapped,20,3 CR,Gujarat Titans,Sold
11,USP1,M. Siddharth,India,TNCA,23,BOWLER,RHB,LEFT ARM Slow Orthodox,0,"KKR, DC",DC,Uncapped,20,,,UnSold
12,BA2,Aaron Finch,Australia,,35,BATSMAN,RHB,LEFT ARM Slow Orthodox,87,"RR, DD, PWI, SRH, MI, GL, KXIP, RCB",,Capped,150,,,UnSold
12,BA2,Marnus Labuschagne,Australia,,27,BATSMAN,RHB,RIGHT ARM Leg Spin,,,,Capped,100,,,UnSold
12,BA2,Dawid Malan,England,,34,BATSMAN,LHB,RIGHT ARM Leg Spin,1,PBKS,PBKS,Capped,150,,,UnSold
12,BA2,Eoin Morgan,England,,35,BATSMAN,LHB,RIGHT ARM Medium,83,"RCB, SRH,KXIP, KKR",KKR,Capped,150,,,UnSold
12,BA2,Cheteshwar Pujara,India,SCA,34,BATSMAN,RHB,RIGHT ARM Leg Spin,30,"KKR, RCB, KXIP, CSK",CSK,Capped,50,,,UnSold
12,BA2,Saurabh Tiwary,India,JSCA,32,BATSMAN,LHB,RIGHT ARM Off Spin,93,"RCB,DD,RPS,MI",MI,Capped,50,,,UnSold
14,FA2,Syed Khaleel Ahmed,India,RCA,24,BOWLER,RHB,LEFT ARM Fast,24,"DD, SRH",SRH,Capped,50,5.25 CR,Delhi Capitals,Sold
14,FA2,Sheldon Cottrell,West Indies,,32,BOWLER,RHB,LEFT ARM Fast Medium,6,KXIP,,Capped,75,,,UnSold
14,FA2,Lungisani Ngidi,South Africa,,26,BOWLER,RHB,RIGHT ARM Fast,14,CSK,CSK,Capped,50,50 L,Delhi Capitals,Sold
14,FA2,Ishant Sharma,India,DDCA,33,BOWLER,RHB,RIGHT ARM Fast,93,"KKR, DCH,SRH,RPS, KXIP, DC",DC,Capped,150,,,UnSold
15,SP2,Qais Ahmad,Afghanistan,,21,BOWLER,RHB,RIGHT ARM Leg Spin,,,,Capped,50,,,UnSold
