Set No.,Set Name,Player,Country,State Association,Age,Specialism,Batting,Bowling,IPL,Previous IPLTeam(s),2021 Team,C/U/A,Base Price,Sold Price,New Franchise,Bid
39,FA5,Barinder Sran,India,PCA,29,BOWLER,LHB,LEFT ARM Fast Medium,24,"RR, SRH, KXIP, MI",,Capped,50,,,UnSold
39,FA5,Billy Stanlake,Australia,,27,BOWLER,LHB,RIGHT ARM Fast,6,"RCB, SRH",,Capped,75,,,UnSold
39,FA5,Neil Wagner,New Zealand,,36,BOWLER,LHB,LEFT ARM Fast Medium,,,,Capped,50,,,UnSold
40,UBA5,Qamran Iqbal,India,JKCA,20,BATSMAN,RHB,RIGHT ARM Leg Spin,,,,Uncapped,20,,,UnSold
40,UBA5,Ishank Jaggi,India,JSCA,33,BATSMAN,RHB,-,7,"DCH, KKR",,Uncapped,20,,,UnSold
40,UBA5,Rohan Kunnummal,India,KCA,23,BATSMAN,RHB,RIGHT ARM Off Spin,,,,Uncapped,20,,,UnSold
40,UBA5,Tanmay Mishra,India,MCA,35,BATSMAN,RHB,RIGHT ARM Off Spin,1,DCH,,Uncapped,20,,,UnSold
40,UBA5,Yash Nahar,India,MACA,27,BATSMAN,RHB,RIGHT ARM Off Spin,,,,Uncapped,20,,,UnSold
40,UBA5,Shubham Singh Rohilla,India,HCA,24,BATSMAN,LHB,RIGHT ARM Leg Spin,,,,Uncapped,20,,,UnSold
40,UBA5,Alex Ross,Australia,,29,BATSMAN,RHB,RIGHT ARM Off Spin,,,,Uncapped,20,,,UnSold
40,UBA5,Naushad Shaikh,India,MACA,30,BATSMAN,RHB,RIGHT ARM Off Spin,,,,Uncapped,20,,,UnSold
41,UAL5,Baba Aparajith,India,TNCA,27,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,RPS,,Uncapped,20,,,UnSold
41,UAL5,Prayas Barman,India,CAB,19,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,1,RCB,,Uncapped,20,,,UnSold
41,UAL5,Yudhvir Charak,India,HYCA,24,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,MI,MI,Uncapped,20,,,UnSold
41,UAL5,Shubhang Hegde,India,KSCA,21,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,Uncapped,20,,,UnSold
41,UAL5,Roosh Kalaria,India,GUCA,29,ALL-ROUNDER,RHB,LEFT ARM Fast Medium,,,,Uncapped,20,,,UnSold
41,UAL5,Tanush Kotian,India,MCA,23,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,Uncapped,20,,,UnSold
41,UAL5,Kaushal Tambe,India,MACA,19,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,Uncapped,20,,,UnSold
41,UAL5,Shivank Vashisth,India,DDCA,26,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,Uncapped,20,,,UnSold
42,UWK4,Rahul Chandrol,India,MPCA,21,WICKETKEEPER,RHB,-,,,,Uncapped,20,,,UnSold
42,UWK4,Harvik Desai,India,SCA,22,WICKETKEEPER,RHB,-,,,,Uncapped,20,,,UnSold
42,UWK4,Cam Fletcher,New Zealand,,29,WICKETKEEPER,RHB,-,,,,Uncapped,20,,,UnSold
42,UWK4,Tarang Gohel,India,SCA,22,WICKETKEEPER,RHB,-,,,,Uncapped,20,,,UnSold
42,UWK4,Fazil Makaya,India,JKCA,25,WICKETKEEPER,RHB,-,,,,Uncapped,20,,,UnSold
42,UWK4,Ryan Rickelton,South Africa,,25,WICKETKEEPER,LHB,-,,,,Uncapped,20,,,UnSold
42,UWK4,Sandeep Kumar Tomar,India,UPCA,23,WICKETKEEPER,LHB,RIGHT ARM Off Spin,,,,Uncapped,20,,,UnSold
42,UWK4,Siddhesh Wath,India,VCA,24,WICKETKEEPER,RHB,-,,,,Uncapped,20,,,UnSold
43,UFA5,Stephen Cheepurupalli,India,ACA,28,BOWLER,LHB,LEFT ARM Fast Medium,,,,Uncapped,20,,,UnSold
43,UFA5,Aniket Choudhary,India,RCA,32,BOWLER,RHB,LEFT ARM Fast Medium,5,RCB,,Uncapped,20,,,UnSold
43,UFA5,Kartikeya Kak,India,HYCA,25,BOWLER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20,,,UnSold
43,UFA5,Ali Khan,USA,,31,BOWLER,RHB,RIGHT ARM Fast,0,KKR,,Associate,40,,,UnSold
43,UFA5,Kulwant Khejroliya,India,DDCA,30,BOWLER,LHB,LEFT ARM Fast,5,"MI, RCB, DC",DC,Uncapped,20,,,UnSold
43,UFA5,Ronit More,India,KSCA,30,BOWLER,RHB,RIGHT ARM Fast Medium,2,CSK,,Uncapped,20,,,UnSold
43,UFA5,M Nidheesh,India,KCA,30,BOWLER,RHB,RIGHT ARM Fast Medium,0,MI,,Uncapped,20,,,UnSold
