Vaccine,Country Name,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
IBCG,Mongolia,97,98,98,98,98,99,98,99,98,98,99,99,99,99,99,99,99,99,99,99
IBCG,Montenegro,..,..,..,..,..,..,98,98,98,95,95,97,95,93,91,88,85,83,93,93
IBCG,Morocco,97,93,92,92,95,95,95,96,99,99,99,99,99,99,99,99,99,99,99,99
IBCG,Mozambique,84,86,87,90,90,90,90,90,90,90,90,91,92,93,94,94,94,94,94,94
IBCG,Myanmar,88,75,82,80,85,76,85,89,88,93,93,93,87,86,92,94,88,91,90,91
IBCG,Namibia,77,69,81,92,94,95,88,95,88,85,88,89,90,94,97,94,89,94,94,94
IBCG,Nauru,93,99,99,97,93,90,99,99,99,99,99,99,99,99,99,99,99,99,99,99
IBCG,Nepal,84,84,85,91,85,87,93,89,87,94,94,97,96,97,99,94,93,95,96,96
IBCG,Netherlands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
IBCG,New Caledonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
IBCG,New Zealand,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
IBCG,Nicaragua,96,97,93,94,88,88,98,98,98,98,98,98,98,98,98,98,98,98,98,98
IBCG,Niger,50,53,56,58,61,64,69,73,78,86,81,53,85,43,87,94,91,92,87,70
IBCG,Nigeria,44,41,38,42,45,49,52,53,65,76,62,57,51,51,51,53,64,67,67,67
IBCG,North America,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
IBCG,North Macedonia,97,97,91,95,94,99,92,95,94,98,96,94,95,97,99,94,99,97,93,93
IBCG,Northern Mariana Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
